MSN,YYYYMM,Value,Column_Order,Description,Unit
RETCBUS,200712,549.794,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200801,593.597,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200802,541.65,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200803,596.829,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200804,606.376,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200805,664.879,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200806,673.913,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200807,645.917,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200808,597.434,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200809,532.82,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200810,553.949,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200811,549.298,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200812,618.025,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200901,622.034,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200902,536.975,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200903,623.267,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200904,655.216,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200905,697.389,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200906,687.759,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200907,645.574,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200908,618.377,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200909,569.214,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200910,628.765,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200911,637.48,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,200912,686.281,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201001,674.792,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201002,616.837,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201003,687.394,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201004,672.294,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201005,731.062,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201006,771.073,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201007,717.979,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201008,676.43,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201009,637.769,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201010,658.503,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201011,689.48,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201012,733.505,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201101,739.44,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201102,711.299,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201103,816.084,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201104,815.067,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201105,838.459,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201106,836.164,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201107,795.127,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201108,754.01,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201109,681.927,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201110,710.41,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201111,736.426,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201112,769.745,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201201,751.999,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201202,683.687,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201203,789.65,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201204,766.281,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201205,809.479,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201206,778.836,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201207,751.004,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201208,725.012,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201209,649.279,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201210,688.077,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201211,687.048,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201212,766.749,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201301,796.799,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201302,713.786,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201303,781.264,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201304,830.323,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201305,870.224,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201306,837.883,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201307,824.467,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201308,756.174,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201309,713.734,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201310,754.023,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201311,767.22,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201312,804.721,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201401,824.263,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201402,711.236,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201403,860.888,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201404,870.724,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201405,867.815,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201406,865.776,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201407,831.547,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201408,770.656,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201409,721.678,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201410,773.287,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201411,814.856,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201412,827.648,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201501,815.339,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201502,767.86,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201503,834.146,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201504,833.09,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201505,829.754,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201506,795.538,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201507,820.16,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201508,797.099,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201509,750.402,13,Total Renewable Energy Consumption,Trillion Btu
RETCBUS,201510,776.121,13,Total Renewable Energy Consumption,Trillion Btu
